hour,pv,demand_elec_res,demand_heat_res,demand_elec_inst,demand_heat_inst,demand_elec,demand_heat
t01,93299.76,960000,3111111.111,2722050,1128638.889,3682050,4239750
t02,0,640000,3111111.111,1814700,1128638.889,2454700,4239750
t03,202915.06,960000,3111111.111,2722050,1128638.889,3682050,4239750
t04,0,640000,3111111.111,1814700,1128638.889,2454700,4239750
t05,381564.87,960000,3111111.111,2722050,1128638.889,3682050,4239750
t06,0,640000,3111111.111,1814700,1128638.889,2454700,4239750
t07,482813.33,768000,1555555.556,3525435,422017.3611,4293435,1977572.917
t08,0,512000,1555555.556,2350290,422017.3611,2862290,1977572.917
t09,550591.4,768000,1555555.556,3525435,422017.3611,4293435,1977572.917
t10,0,512000,1555555.556,2350290,422017.3611,2862290,1977572.917
t11,544733.4,768000,1555555.556,3525435,422017.3611,4293435,1977572.917
t12,0,512000,1555555.556,2350290,422017.3611,2862290,1977572.917
t13,553938.54,960000,3111111.111,2724255,1128638.889,3684255,4239750
t14,0,640000,3111111.111,1816170,1128638.889,2456170,4239750
t15,517539.15,960000,3111111.111,2724255,1128638.889,3684255,4239750
t16,0,640000,3111111.111,1816170,1128638.889,2456170,4239750
t17,412525.41,960000,3111111.111,2724255,1128638.889,3684255,4239750
t18,0,640000,3111111.111,1816170,1128638.889,2456170,4239750
t19,281571.84,1152000,4666666.667,1914255,1800982.639,3066255,6467649.306
t20,0,768000,4666666.667,1276170,1800982.639,2044170,6467649.306
t21,125096.58,1152000,4666666.667,1914255,1800982.639,3066255,6467649.306
t22,0,768000,4666666.667,1276170,1800982.639,2044170,6467649.306
t23,37235.67,1152000,4666666.667,1914255,1800982.639,3066255,6467649.306
t24,0,768000,4666666.667,1276170,1800982.639,2044170,6467649.306
